model,label,internal_auroc_95ci,external_auroc_95ci,internal_auprc_95ci,external_auprc_95ci,internal_f1_95ci,external_f1_95ci
ResNet50,Atelectasis,0.668 (0.601-0.735),0.701 (0.662-0.741),0.215 (0.161-0.306),0.233 (0.184-0.289),0.302 (0.230-0.376),0.275 (0.204-0.334)
ResNet50,Cardiomegaly,0.609 (0.479-0.739),0.621 (0.578-0.658),0.097 (0.037-0.227),0.401 (0.349-0.467),0.106 (0.030-0.188),0.391 (0.337-0.442)
ResNet50,Pleural Effusion,0.712 (0.659-0.765),0.800 (0.768-0.834),0.378 (0.290-0.468),0.667 (0.608-0.724),0.380 (0.308-0.448),0.615 (0.573-0.658)
ResNet50,Pneumothorax,0.659 (0.561-0.743),0.663 (0.602-0.726),0.097 (0.063-0.166),0.088 (0.066-0.122),0.162 (0.087-0.245),0.131 (0.075-0.186)
ResNet50,Consolidation,0.585 (0.501-0.667),0.764 (0.730-0.799),0.067 (0.049-0.102),0.375 (0.317-0.450),0.140 (0.085-0.209),0.377 (0.310-0.440)
ResNet50,Edema,0.714 (0.575-0.835),NA,0.052 (0.021-0.118),NA,0.109 (0.000-0.243),0.000 (0.000-0.000)
ResNet50,Pneumonia,0.543 (0.437-0.650),NA,0.025 (0.015-0.044),NA,0.037 (0.008-0.072),0.000 (0.000-0.000)
ResNet50,No Finding,0.684 (0.637-0.734),0.819 (0.792-0.843),0.672 (0.606-0.729),0.747 (0.704-0.790),0.662 (0.611-0.703),0.709 (0.676-0.743)


