label,nih_internal_prevalence,vindr_external_prevalence,validation_threshold,internal_auroc_95ci,external_auroc_95ci,internal_auprc_95ci,external_auprc_95ci,internal_f1_95ci,external_f1_95ci,internal_sensitivity_95ci,external_sensitivity_95ci,internal_specificity_95ci,external_specificity_95ci,external_analysis_status
Atelectasis,0.12043301759133965,0.131,0.66,0.679 (0.616-0.743),0.617 (0.577-0.658),0.222 (0.169-0.306),0.157 (0.132-0.194),0.246 (0.166-0.332),0.117 (0.071-0.165),0.258 (0.169-0.360),0.130 (0.078-0.186),0.885 (0.853-0.912),0.837 (0.811-0.863),evaluable
Cardiomegaly,0.035182679296346414,0.276,0.75,0.675 (0.560-0.771),0.780 (0.752-0.810),0.119 (0.043-0.240),0.565 (0.505-0.625),0.182 (0.073-0.290),0.353 (0.287-0.409),0.231 (0.095-0.382),0.239 (0.189-0.288),0.952 (0.936-0.968),0.956 (0.941-0.970),evaluable
Pleural Effusion,0.14749661705006767,0.288,0.55,0.709 (0.650-0.763),0.811 (0.779-0.838),0.335 (0.258-0.431),0.637 (0.580-0.692),0.342 (0.278-0.409),0.622 (0.577-0.667),0.670 (0.569-0.761),0.663 (0.608-0.716),0.611 (0.561-0.658),0.810 (0.781-0.841),evaluable
Pneumothorax,0.056833558863328824,0.059,0.61,0.646 (0.535-0.754),0.657 (0.598-0.718),0.198 (0.085-0.366),0.092 (0.066-0.135),0.203 (0.109-0.310),0.147 (0.090-0.208),0.381 (0.207-0.558),0.356 (0.233-0.483),0.857 (0.824-0.885),0.782 (0.756-0.808),evaluable
Consolidation,0.05548037889039242,0.175,0.68,0.618 (0.532-0.695),0.745 (0.710-0.778),0.076 (0.053-0.127),0.374 (0.321-0.450),0.155 (0.099-0.214),0.273 (0.194-0.346),0.537 (0.382-0.693),0.194 (0.133-0.256),0.683 (0.640-0.729),0.952 (0.937-0.966),evaluable
Edema,0.02029769959404601,0.0,0.6,0.794 (0.689-0.878),NA,0.059 (0.028-0.122),NA,0.144 (0.058-0.236),0.000 (0.000-0.000),0.533 (0.275-0.769),0.000 (0.000-0.000),0.878 (0.845-0.911),0.999 (0.997-1.000),not evaluable for discrimination
Pneumonia,0.023004059539918808,0.0,0.21,0.645 (0.522-0.751),NA,0.037 (0.020-0.080),NA,0.059 (0.000-0.126),0.000 (0.000-0.000),0.235 (0.000-0.464),0.000 (0.000-0.000),0.842 (0.808-0.874),0.992 (0.985-0.997),not evaluable for discrimination
No Finding,0.5074424898511503,0.414,0.52,0.676 (0.630-0.723),0.846 (0.823-0.869),0.662 (0.601-0.726),0.782 (0.738-0.821),0.671 (0.623-0.712),0.634 (0.603-0.664),0.768 (0.715-0.820),0.988 (0.978-0.998),0.464 (0.406-0.521),0.201 (0.169-0.234),evaluable


