dataset,label,prevalence,sensitivity,specificity,f1,accuracy,ppv,npv
NIH_internal_test,Atelectasis,0.12043301759133965,0.2584269662921319,0.8846153846153832,0.2459893048128329,0.8092016238159664,0.234693877551018,0.897035881435256
NIH_internal_test,Cardiomegaly,0.035182679296346414,0.2307692307692219,0.9523141654978948,0.181818181818179,0.9269282814614332,0.1499999999999962,0.9713876967095836
NIH_internal_test,Pleural Effusion,0.14749661705006767,0.6697247706421957,0.6111111111111102,0.3419203747072591,0.6197564276048706,0.2295597484276722,0.9144893111638932
NIH_internal_test,Pneumothorax,0.056833558863328824,0.3809523809523719,0.856527977044475,0.2025316455696189,0.8294993234100124,0.1379310344827574,0.9582664526484737
NIH_internal_test,Consolidation,0.05548037889039242,0.5365853658536455,0.6833810888252139,0.1549295774647881,0.675236806495263,0.0905349794238679,0.9616935483870948
NIH_internal_test,Edema,0.02029769959404601,0.5333333333332978,0.8784530386740319,0.1441441441441428,0.8714479025710408,0.0833333333333324,0.9891135303265924
NIH_internal_test,Pneumonia,0.023004059539918808,0.235294117647045,0.8421052631578936,0.0592592592592588,0.8281461434370759,0.0338983050847454,0.9790660225442818
NIH_internal_test,No Finding,0.5074424898511503,0.7679999999999979,0.4642857142857129,0.6713286713286706,0.6184032476319342,0.5962732919254645,0.6601562499999973
VinDr_external,Atelectasis,0.131,0.1297709923664112,0.8365937859608736,0.1172413793103444,0.7439999999999992,0.10691823899371,0.8644470868014258
VinDr_external,Cardiomegaly,0.276,0.2391304347826078,0.9558011049723744,0.3529411764705872,0.7579999999999992,0.6734693877550952,0.7671840354767175
VinDr_external,Pleural Effusion,0.288,0.6631944444444421,0.8103932584269651,0.6221498371335494,0.7679999999999992,0.5858895705521454,0.8560830860534112
VinDr_external,Pneumothorax,0.059,0.3559322033898244,0.7821466524973424,0.147368421052631,0.7569999999999992,0.0929203539823004,0.9509043927648566
VinDr_external,Consolidation,0.175,0.1942857142857131,0.9515151515151504,0.2730923694779105,0.8189999999999992,0.4594594594594532,0.847732181425485
VinDr_external,Edema,0.0,0.0,0.998999999999999,0.0,0.998999999999999,0.0,0.999999999999999
VinDr_external,Pneumonia,0.0,0.0,0.991999999999999,0.0,0.991999999999999,0.0,0.999999999999999
VinDr_external,No Finding,0.414,0.9879227053140072,0.2013651877133102,0.6336173508907819,0.5269999999999995,0.4663625997719492,0.9593495934959272
NIH_internal_test,Atelectasis,0.12043301759133965,0.4831460674157249,0.7646153846153834,0.3017543859649112,0.7307171853856553,0.2193877551020397,0.9152854511970516
NIH_internal_test,Cardiomegaly,0.035182679296346414,0.3076923076922959,0.8359046283309945,0.1059602649006615,0.8173207036535848,0.0639999999999994,0.9706840390879464
NIH_internal_test,Pleural Effusion,0.14749661705006767,0.633027522935774,0.7063492063492052,0.3801652892561973,0.6955345060893089,0.2716535433070856,0.9175257731958744
NIH_internal_test,Pneumothorax,0.056833558863328824,0.3571428571428486,0.8163558106169285,0.1621621621621612,0.7902571041948568,0.1048951048951041,0.9546979865771796
NIH_internal_test,Consolidation,0.05548037889039242,0.4146341463414533,0.7349570200573056,0.1399176954732504,0.7171853856562913,0.0841584158415837,0.9553072625698306
NIH_internal_test,Edema,0.02029769959404601,0.1999999999999866,0.948895027624308,0.1090909090909071,0.933694181326115,0.0749999999999981,0.9828326180257496
NIH_internal_test,Pneumonia,0.023004059539918808,0.235294117647045,0.7257617728531846,0.0365296803652966,0.7144790257104185,0.0198019801980197,0.9757914338919907
NIH_internal_test,No Finding,0.5074424898511503,0.7066666666666648,0.5604395604395589,0.6624999999999992,0.634641407307171,0.6235294117647043,0.6496815286624182
VinDr_external,Atelectasis,0.131,0.3206106870228983,0.8481012658227838,0.2754098360655728,0.7789999999999992,0.2413793103448262,0.8922518159806284
VinDr_external,Cardiomegaly,0.276,0.3731884057971,0.7955801104972364,0.3908918406072099,0.6789999999999993,0.4103585657370501,0.7690253671562072
VinDr_external,Pleural Effusion,0.288,0.7916666666666639,0.6839887640449428,0.6153846153846145,0.7149999999999993,0.5033112582781446,0.8903107861060312
VinDr_external,Pneumothorax,0.059,0.2711864406779615,0.8204038257173211,0.131147540983606,0.7879999999999991,0.086486486486486,0.9472392638036798
VinDr_external,Consolidation,0.175,0.3314285714285695,0.909090909090908,0.3766233766233753,0.8079999999999992,0.4360902255639065,0.8650519031141858
VinDr_external,Edema,0.0,0.0,0.993999999999999,0.0,0.993999999999999,0.0,0.999999999999999
VinDr_external,Pneumonia,0.0,0.0,0.8949999999999991,0.0,0.8949999999999991,0.0,0.9999999999999988
VinDr_external,No Finding,0.414,0.8405797101449255,0.6262798634812276,0.7094801223241582,0.7149999999999993,0.6137566137566126,0.8475750577367186
NIH_internal_test,Atelectasis,0.12043301759133965,0.3483146067415691,0.809230769230768,0.2540983606557366,0.753721244925574,0.1999999999999987,0.9006849315068477
NIH_internal_test,Cardiomegaly,0.035182679296346414,0.0769230769230739,0.9873772791023828,0.1081081081081051,0.9553450608930976,0.1818181818181652,0.9670329670329656
NIH_internal_test,Pleural Effusion,0.14749661705006767,0.6880733944954066,0.6587301587301576,0.3759398496240592,0.6630581867388353,0.2586206896551715,0.9242761692650312
NIH_internal_test,Pneumothorax,0.056833558863328824,0.3333333333333254,0.8651362984218065,0.1866666666666654,0.834912043301758,0.1296296296296284,0.9556259904912822
NIH_internal_test,Consolidation,0.05548037889039242,0.2195121951219458,0.8624641833810875,0.1232876712328758,0.8267929634641396,0.0857142857142849,0.9495268138801246
NIH_internal_test,Edema,0.02029769959404601,0.1999999999999866,0.9544198895027612,0.1176470588235271,0.9391069012178608,0.083333333333331,0.982930298719771
NIH_internal_test,Pneumonia,0.023004059539918808,0.0,0.9736842105263144,0.0,0.9512855209742884,0.0,0.9763888888888876
NIH_internal_test,No Finding,0.5074424898511503,0.8266666666666644,0.4258241758241746,0.6935123042505585,0.6292286874154254,0.5973025048169545,0.7045454545454514
VinDr_external,Atelectasis,0.131,0.0839694656488543,0.953970080552358,0.1208791208791202,0.8399999999999992,0.2156862745097996,0.8735511064278179
VinDr_external,Cardiomegaly,0.276,0.0579710144927534,0.9682320441988936,0.1015873015873012,0.7169999999999993,0.4102564102563997,0.7294484911550461
VinDr_external,Pleural Effusion,0.288,0.5868055555555535,0.8356741573033696,0.5888501742160268,0.7639999999999992,0.5909090909090888,0.8333333333333321
VinDr_external,Pneumothorax,0.059,0.2033898305084711,0.8916046758767259,0.1387283236994211,0.8509999999999991,0.1052631578947359,0.9469525959367936
VinDr_external,Consolidation,0.175,0.034285714285714,0.995151515151514,0.0648648648648645,0.8269999999999992,0.59999999999994,0.8292929292929284
VinDr_external,Edema,0.0,0.0,0.994999999999999,0.0,0.994999999999999,0.0,0.999999999999999
VinDr_external,Pneumonia,0.0,0.0,0.982999999999999,0.0,0.982999999999999,0.0,0.999999999999999
VinDr_external,No Finding,0.414,0.942028985507244,0.3310580204778151,0.6521739130434777,0.5839999999999994,0.4987212276214827,0.8899082568807298


